,frequency,frequency_ham,frequency_spam,P(word),P(word|ham),P(word|spam)
level,126,82,44,0.00036570181370685224,0.0003292022466046,0.0004609453570231311
accept,126,50,76,0.00036570181370685224,0.00020073307719792682,0.0007961783439490446
everyon,126,99,27,0.00036570181370685224,0.00039745149285189515,0.0002828528327187395
remain,125,103,22,0.0003627994183599725,0.0004135101390277293,0.00023047267851156555
commerci,125,55,70,0.0003627994183599725,0.0002208063849177195,0.0007333221589004358
style,125,5,120,0.0003627994183599725,2.0073307719792683e-05,0.0012571237009721757
adob,125,2,123,0.0003627994183599725,8.029323087917072e-06,0.00128855179349648
later,125,100,25,0.0003627994183599725,0.00040146615439585364,0.00026190077103586994
life,125,27,98,0.0003627994183599725,0.00010839586168688048,0.0010266510224606101
donna,125,124,1,0.0003627994183599725,0.0004978180314508585,1.0476030841434798e-05
central,124,101,23,0.0003598970230130927,0.0004054808159398122,0.00024094870935300033
stone,124,118,6,0.0003598970230130927,0.0004737300621871073,6.285618504860878e-05
consid,124,34,90,0.0003598970230130927,0.00013649849249459026,0.0009428427757291317
termin,124,104,20,0.0003598970230130927,0.0004175248005716878,0.00020952061682869594
asset,124,98,26,0.0003598970230130927,0.0003934368313079366,0.00027237680187730475
immedi,123,57,66,0.0003569946276662129,0.00022883570800563658,0.0006914180355346966
lsk,123,123,0,0.0003569946276662129,0.0004938033699069,0.0
east,123,107,16,0.0003569946276662129,0.00042956878520356343,0.00016761649346295676
sept,123,122,1,0.0003569946276662129,0.0004897887083629414,1.0476030841434798e-05
respect,123,46,77,0.0003569946276662129,0.00018467443102209268,0.0008066543747904794
karen,122,121,1,0.0003540922323193331,0.00048577404681898295,1.0476030841434798e-05
fund,122,28,94,0.0003540922323193331,0.00011241052323083903,0.000984746899094871
hplnl,122,122,0,0.0003540922323193331,0.0004897887083629414,0.0
answer,122,93,29,0.0003540922323193331,0.0003733635235881439,0.0003038048944016091
associ,122,94,28,0.0003540922323193331,0.00037737818513210246,0.0002933288635601743
except,122,109,13,0.0003540922323193331,0.00043759810829148047,0.00013618840093865237
promot,121,61,60,0.0003511898369724534,0.0002448943541814707,0.0006285618504860878
carthag,121,119,2,0.0003511898369724534,0.00047774472373106585,2.0952061682869596e-05
schumack,121,121,0,0.0003511898369724534,0.00048577404681898295,0.0
head,121,86,35,0.0003511898369724534,0.0003452608927804341,0.0003666610794502179
network,121,45,76,0.0003511898369724534,0.00018065976947813416,0.0007961783439490446
friend,121,66,55,0.0003511898369724534,0.0002649676619012634,0.0005761816962789138
fix,120,72,48,0.0003482874416255736,0.00028905563116501465,0.0005028494803888703
found,120,74,46,0.0003482874416255736,0.0002970849542529317,0.00048189741870600065
small,120,60,60,0.0003482874416255736,0.0002408796926375122,0.0006285618504860878
connect,120,68,52,0.0003482874416255736,0.0002729969849891805,0.0005447536037546095
write,120,60,60,0.0003482874416255736,0.0002408796926375122,0.0006285618504860878
vltx,120,120,0,0.0003482874416255736,0.0004817593852750244,0.0
stacey,119,118,1,0.0003453850462786938,0.0004737300621871073,1.0476030841434798e-05
recent,119,54,65,0.0003453850462786938,0.00021679172337376096,0.0006809420046932619
arrang,119,98,21,0.0003453850462786938,0.0003934368313079366,0.00021999664767013074
claim,119,20,99,0.0003453850462786938,8.029323087917073e-05,0.001037127053302045
server,119,56,63,0.0003453850462786938,0.00022482104646167806,0.0006599899430103923
resolv,119,116,3,0.0003453850462786938,0.00046570073909919026,3.142809252430439e-05
third,119,45,74,0.0003453850462786938,0.00018065976947813416,0.000775226282266175
countri,119,32,87,0.0003453850462786938,0.00012846916940667316,0.0009114146832048274
star,119,94,25,0.0003453850462786938,0.00037737818513210246,0.00026190077103586994
left,118,98,20,0.000342482650931814,0.0003934368313079366,0.00020952061682869594
hess,118,116,2,0.000342482650931814,0.00046570073909919026,2.0952061682869596e-05
night,118,84,34,0.000342482650931814,0.0003372315696925171,0.0003561850486087831
beaumont,118,115,3,0.000342482650931814,0.0004616860775552317,3.142809252430439e-05
luong,118,118,0,0.000342482650931814,0.0004737300621871073,0.0
happen,118,75,43,0.000342482650931814,0.00030109961579689024,0.0004504693261816963
ce,117,112,5,0.00033958025558493426,0.0004496420929233561,5.2380154207173984e-05
version,117,69,48,0.00033958025558493426,0.000277011646533139,0.0005028494803888703
determin,116,99,17,0.00033667786023805447,0.00039745149285189515,0.00017809252430439154
edward,116,111,5,0.00033667786023805447,0.00044562743137939757,5.2380154207173984e-05
rememb,116,54,62,0.00033667786023805447,0.00021679172337376096,0.0006495139121689574
appreci,116,106,10,0.00033667786023805447,0.0004255541236596049,0.00010476030841434797
retail,116,22,94,0.00033667786023805447,8.83225539670878e-05,0.000984746899094871
feedback,116,112,4,0.00033667786023805447,0.0004496420929233561,4.190412336573919e-05
dow,116,106,10,0.00033667786023805447,0.0004255541236596049,0.00010476030841434797
titl,116,18,98,0.00033667786023805447,7.226390779125366e-05,0.0010266510224606101
publish,116,16,100,0.00033667786023805447,6.423458470333658e-05,0.0010476030841434798
easi,115,29,86,0.0003337754648911747,0.00011642518477479757,0.0009009386523633926
union,115,107,8,0.0003337754648911747,0.00042956878520356343,8.380824673147838e-05
normal,115,32,83,0.0003337754648911747,0.00012846916940667316,0.0008695105598390882
presid,115,78,37,0.0003337754648911747,0.00031314360042876584,0.0003876131411330875
tell,115,77,38,0.0003337754648911747,0.00030912893888480734,0.0003980891719745223
man,115,37,78,0.0003337754648911747,0.00014854247712646585,0.0008171304056319141
capit,114,72,42,0.0003308730695442949,0.00028905563116501465,0.0004399932953402615
receipt,114,89,25,0.0003308730695442949,0.00035730487741230977,0.00026190077103586994
member,114,68,46,0.0003308730695442949,0.0002729969849891805,0.00048189741870600065
legal,114,78,36,0.0003308730695442949,0.00031314360042876584,0.0003771371102916527
papayoti,114,114,0,0.0003308730695442949,0.00045767141601127316,0.0
lamphier,114,114,0,0.0003308730695442949,0.00045767141601127316,0.0
herod,113,113,0,0.00032797067419741515,0.0004536567544673146,0.0
late,113,59,54,0.00032797067419741515,0.00023686503109355365,0.000565705665437479
basi,113,97,16,0.00032797067419741515,0.00038942216976397805,0.00016761649346295676
code,113,68,45,0.00032797067419741515,0.0002729969849891805,0.00047142138786456585
settlement,112,107,5,0.00032506827885053535,0.00042956878520356343,5.2380154207173984e-05
execut,112,78,34,0.00032506827885053535,0.00031314360042876584,0.0003561850486087831
lead,112,61,51,0.00032506827885053535,0.0002448943541814707,0.0005342775729131747
wait,112,55,57,0.00032506827885053535,0.0002208063849177195,0.0005971337579617834
bring,112,74,38,0.00032506827885053535,0.0002970849542529317,0.0003980891719745223
flash,112,74,38,0.00032506827885053535,0.0002970849542529317,0.0003980891719745223
exxon,112,109,3,0.00032506827885053535,0.00043759810829148047,3.142809252430439e-05
victor,111,111,0,0.00032216588350365556,0.00044562743137939757,0.0
cynthia,111,109,2,0.00032216588350365556,0.00043759810829148047,2.0952061682869596e-05
lot,111,38,73,0.00032216588350365556,0.0001525571386704244,0.0007647502514247402
care,111,62,49,0.00032216588350365556,0.00024890901572542927,0.0005133255112303051
mention,111,78,33,0.00032216588350365556,0.00031314360042876584,0.0003457090177673483
thoma,111,100,11,0.00032216588350365556,0.00040146615439585364,0.00011523633925578277
dfarmer,110,110,0,0.00031926348815677577,0.000441612769835439,0.0
side,110,61,49,0.00031926348815677577,0.0002448943541814707,0.0005133255112303051
balanc,110,96,14,0.00031926348815677577,0.0003854075082200195,0.00014666443178008715
roll,110,102,8,0.00031926348815677577,0.00040949547748377074,8.380824673147838e-05
paliourg,110,0,110,0.00031926348815677577,0.0,0.0011523633925578276
probabl,110,95,15,0.00031926348815677577,0.00038139284667606095,0.00015714046262152196
mailto,110,98,12,0.00031926348815677577,0.0003934368313079366,0.00012571237009721757
html,110,20,90,0.00031926348815677577,8.029323087917073e-05,0.0009428427757291317
cheryl,109,108,1,0.00031636109280989603,0.0004335834467475219,1.0476030841434798e-05
necessari,109,69,40,0.00031636109280989603,0.000277011646533139,0.00041904123365739187
neal,109,108,1,0.00031636109280989603,0.0004335834467475219,1.0476030841434798e-05
target,108,13,95,0.00031345869746301624,5.219060007146097e-05,0.0009952229299363057
outag,108,108,0,0.00031345869746301624,0.0004335834467475219,0.0
decid,108,53,55,0.00031345869746301624,0.00021277706182980244,0.0005761816962789138
brand,108,10,98,0.00031345869746301624,4.014661543958537e-05,0.0010266510224606101
particip,108,64,44,0.00031345869746301624,0.0002569383388133463,0.0004609453570231311
turn,108,55,53,0.00031345869746301624,0.0002208063849177195,0.0005552296345960443
notifi,107,98,9,0.00031055630211613644,0.0003934368313079366,9.428427757291318e-05
pro,107,1,106,0.00031055630211613644,4.014661543958536e-06,0.0011104592691920886
loss,107,43,64,0.00031055630211613644,0.00017263044639021706,0.0006704659738518271
tab,107,27,80,0.00031055630211613644,0.00010839586168688048,0.0008380824673147837
approxim,107,81,26,0.00031055630211613644,0.0003251875850606415,0.00027237680187730475
valero,107,107,0,0.00031055630211613644,0.00042956878520356343,0.0
dave,107,104,3,0.00031055630211613644,0.0004175248005716878,3.142809252430439e-05
mid,106,89,17,0.00030765390676925665,0.00035730487741230977,0.00017809252430439154
sorri,106,98,8,0.00030765390676925665,0.0003934368313079366,8.380824673147838e-05
reduc,106,75,31,0.00030765390676925665,0.00030109961579689024,0.0003247569560844787
monthli,106,91,15,0.00030765390676925665,0.0003653342005002268,0.00015714046262152196
identifi,106,55,51,0.00030765390676925665,0.0002208063849177195,0.0005342775729131747
submit,105,97,8,0.0003047515114223769,0.00038942216976397805,8.380824673147838e-05
voip,105,0,105,0.0003047515114223769,0.0,0.0010999832383506538
afternoon,105,103,2,0.0003047515114223769,0.0004135101390277293,2.0952061682869596e-05
koch,105,105,0,0.0003047515114223769,0.00042153946211564633,0.0
duti,105,16,89,0.0003047515114223769,6.423458470333658e-05,0.000932366744887697
jone,104,93,11,0.0003018491160754971,0.0003733635235881439,0.00011523633925578277
success,104,51,53,0.0003018491160754971,0.00020474773874188537,0.0005552296345960443
profil,104,20,84,0.0003018491160754971,8.029323087917073e-05,0.000879986590680523
hear,104,74,30,0.0003018491160754971,0.0002970849542529317,0.0003142809252430439
specif,103,75,28,0.0002989467207286173,0.00030109961579689024,0.0002933288635601743
doctor,103,10,93,0.0002989467207286173,4.014661543958537e-05,0.0009742708682534361
travel,103,73,30,0.0002989467207286173,0.00029307029270897315,0.0003142809252430439
janet,103,100,3,0.0002989467207286173,0.00040146615439585364,3.142809252430439e-05
portfolio,103,75,28,0.0002989467207286173,0.00030109961579689024,0.0002933288635601743
stay,103,77,26,0.0002989467207286173,0.00030912893888480734,0.00027237680187730475
everyth,103,57,46,0.0002989467207286173,0.00022883570800563658,0.00048189741870600065
bryan,103,103,0,0.0002989467207286173,0.0004135101390277293,0.0
togeth,103,86,17,0.0002989467207286173,0.0003452608927804341,0.00017809252430439154
stack,103,101,2,0.0002989467207286173,0.0004054808159398122,2.0952061682869596e-05
mcf,103,99,4,0.0002989467207286173,0.00039745149285189515,4.190412336573919e-05
potenti,103,46,57,0.0002989467207286173,0.00018467443102209268,0.0005971337579617834
cornhusk,103,103,0,0.0002989467207286173,0.0004135101390277293,0.0
join,103,70,33,0.0002989467207286173,0.00028102630807709755,0.0003457090177673483
password,103,90,13,0.0002989467207286173,0.0003613195389562683,0.00013618840093865237
etc,103,72,31,0.0002989467207286173,0.00028905563116501465,0.0003247569560844787
format,103,26,77,0.0002989467207286173,0.00010438120014292195,0.0008066543747904794
guarante,103,19,84,0.0002989467207286173,7.62785693352122e-05,0.000879986590680523
kind,102,37,65,0.00029604432538173753,0.00014854247712646585,0.0006809420046932619
zone,102,85,17,0.00029604432538173753,0.0003412462312364756,0.00017809252430439154
channel,102,65,37,0.00029604432538173753,0.00026095300035730486,0.0003876131411330875
drive,102,31,71,0.00029604432538173753,0.00012445450786271464,0.0007437981897418706
depart,102,42,60,0.00029604432538173753,0.00016861578484625854,0.0006285618504860878
readi,101,63,38,0.0002931419300348578,0.0002529236772693878,0.0003980891719745223
liz,101,101,0,0.0002931419300348578,0.0004054808159398122,0.0
major,101,30,71,0.0002931419300348578,0.0001204398463187561,0.0007437981897418706
jim,101,100,1,0.0002931419300348578,0.00040146615439585364,1.0476030841434798e-05
reach,101,50,51,0.0002931419300348578,0.00020073307719792682,0.0005342775729131747
latest,101,47,54,0.0002931419300348578,0.00018868909256605123,0.000565705665437479
print,101,81,20,0.0002931419300348578,0.0003251875850606415,0.00020952061682869594
realli,101,57,44,0.0002931419300348578,0.00022883570800563658,0.0004609453570231311
enserch,101,101,0,0.0002931419300348578,0.0004054808159398122,0.0
lsp,100,100,0,0.000290239534687978,0.00040146615439585364,0.0
live,100,49,51,0.000290239534687978,0.0001967184156539683,0.0005342775729131747
express,100,36,64,0.000290239534687978,0.00014452781558250733,0.0006704659738518271
learn,100,43,57,0.000290239534687978,0.00017263044639021706,0.0005971337579617834
privat,100,27,73,0.000290239534687978,0.00010839586168688048,0.0007647502514247402
white,100,75,25,0.000290239534687978,0.00030109961579689024,0.00026190077103586994
occur,99,55,44,0.0002873371393410982,0.0002208063849177195,0.0004609453570231311
jeff,99,94,5,0.0002873371393410982,0.00037737818513210246,5.2380154207173984e-05
bridg,99,82,17,0.0002873371393410982,0.0003292022466046,0.00017809252430439154
physic,99,87,12,0.0002873371393410982,0.00034927555432439267,0.00012571237009721757
exist,99,66,33,0.0002873371393410982,0.0002649676619012634,0.0003457090177673483
south,99,54,45,0.0002873371393410982,0.00021679172337376096,0.00047142138786456585
leav,99,75,24,0.0002873371393410982,0.00030109961579689024,0.00025142474019443513
trader,99,91,8,0.0002873371393410982,0.0003653342005002268,8.380824673147838e-05
guy,99,78,21,0.0002873371393410982,0.00031314360042876584,0.00021999664767013074
ken,99,98,1,0.0002873371393410982,0.0003934368313079366,1.0476030841434798e-05
hard,99,37,62,0.0002873371393410982,0.00014854247712646585,0.0006495139121689574
becom,99,42,57,0.0002873371393410982,0.00016861578484625854,0.0005971337579617834
pass,98,69,29,0.0002844347439942184,0.000277011646533139,0.0003038048944016091
awar,98,50,48,0.0002844347439942184,0.00020073307719792682,0.0005028494803888703
cleburn,98,98,0,0.0002844347439942184,0.0003934368313079366,0.0
health,97,5,92,0.0002815323486473387,2.0073307719792683e-05,0.0009637948374120013
lone,97,88,9,0.0002815323486473387,0.0003532902158683512,9.428427757291318e-05
longer,97,54,43,0.0002815323486473387,0.00021679172337376096,0.0004504693261816963
oasi,97,96,1,0.0002815323486473387,0.0003854075082200195,1.0476030841434798e-05
waha,97,97,0,0.0002815323486473387,0.00038942216976397805,0.0
baumbach,97,97,0,0.0002815323486473387,0.00038942216976397805,0.0
minut,97,26,71,0.0002815323486473387,0.00010438120014292195,0.0007437981897418706
matter,97,53,44,0.0002815323486473387,0.00021277706182980244,0.0004609453570231311
eol,97,97,0,0.0002815323486473387,0.00038942216976397805,0.0
poorman,97,97,0,0.0002815323486473387,0.00038942216976397805,0.0
away,96,49,47,0.0002786299533004589,0.0001967184156539683,0.0004923734495474355
china,96,4,92,0.0002786299533004589,1.6058646175834145e-05,0.0009637948374120013
build,96,54,42,0.0002786299533004589,0.00021679172337376096,0.0004399932953402615
growth,96,28,68,0.0002786299533004589,0.00011241052323083903,0.0007123700972175662
tess,96,94,2,0.0002786299533004589,0.00037737818513210246,2.0952061682869596e-05
statu,96,86,10,0.0002786299533004589,0.0003452608927804341,0.00010476030841434797
shop,96,55,41,0.0002786299533004589,0.0002208063849177195,0.0004295172644988267
enhanc,96,41,55,0.0002786299533004589,0.0001646011233023,0.0005761816962789138
given,96,52,44,0.0002786299533004589,0.0002087624002858439,0.0004609453570231311
reinhardt,96,96,0,0.0002786299533004589,0.0003854075082200195,0.0
gain,96,33,63,0.0002786299533004589,0.0001324838309506317,0.0006599899430103923
php,96,0,96,0.0002786299533004589,0.0,0.0010056989607777405
director,96,46,50,0.0002786299533004589,0.00018467443102209268,0.0005238015420717399
design,95,37,58,0.0002757275579535791,0.00014854247712646585,0.0006076097888032182
train,95,90,5,0.0002757275579535791,0.0003613195389562683,5.2380154207173984e-05
card,95,40,55,0.0002757275579535791,0.00016058646175834147,0.0005761816962789138
browser,95,20,75,0.0002757275579535791,8.029323087917073e-05,0.0007857023131076098
bgcolor,95,0,95,0.0002757275579535791,0.0,0.0009952229299363057
individu,95,67,28,0.0002757275579535791,0.00026898232344522196,0.0002933288635601743
strong,94,8,86,0.0002728251626066993,3.211729235166829e-05,0.0009009386523633926
financ,94,21,73,0.0002728251626066993,8.430789242312927e-05,0.0007647502514247402
green,94,64,30,0.0002728251626066993,0.0002569383388133463,0.0003142809252430439
jennif,94,92,2,0.0002728251626066993,0.00036934886204418536,2.0952061682869596e-05
sold,94,62,32,0.0002728251626066993,0.00024890901572542927,0.00033523298692591353
noth,93,40,53,0.0002699227672598195,0.00016058646175834147,0.0005552296345960443
anticip,93,17,76,0.0002699227672598195,6.824924624729513e-05,0.0007961783439490446
short,93,53,40,0.0002699227672598195,0.00021277706182980244,0.00041904123365739187
video,93,21,72,0.0002699227672598195,8.430789242312927e-05,0.0007542742205833054
test,92,63,29,0.00026702037191293976,0.0002529236772693878,0.0003038048944016091
ensur,92,72,20,0.00026702037191293976,0.00028905563116501465,0.00020952061682869594
boa,92,91,1,0.00026702037191293976,0.0003653342005002268,1.0476030841434798e-05
bellami,92,90,2,0.00026702037191293976,0.0003613195389562683,2.0952061682869596e-05
ali,92,2,90,0.00026702037191293976,8.029323087917072e-06,0.0009428427757291317
stella,92,90,2,0.00026702037191293976,0.0003613195389562683,2.0952061682869596e-05
told,92,74,18,0.00026702037191293976,0.0002970849542529317,0.00018856855514582635
confidenti,92,48,44,0.00026702037191293976,0.00019270375411000975,0.0004609453570231311
prize,92,41,51,0.00026702037191293976,0.0001646011233023,0.0005342775729131747
methanol,92,92,0,0.00026702037191293976,0.00036934886204418536,0.0
ltd,91,73,18,0.00026411797656605997,0.00029307029270897315,0.00018856855514582635
king,91,76,15,0.00026411797656605997,0.0003051142773408488,0.00015714046262152196
chanc,91,67,24,0.00026411797656605997,0.00026898232344522196,0.00025142474019443513
edit,91,26,65,0.00026411797656605997,0.00010438120014292195,0.0006809420046932619
room,91,71,20,0.00026411797656605997,0.0002850409696210561,0.00020952061682869594
iferc,90,90,0,0.0002612155812191802,0.0003613195389562683,0.0
enjoy,90,46,44,0.0002612155812191802,0.00018467443102209268,0.0004609453570231311
revenu,90,18,72,0.0002612155812191802,7.226390779125366e-05,0.0007542742205833054
pull,90,74,16,0.0002612155812191802,0.0002970849542529317,0.00016761649346295676
apach,90,87,3,0.0002612155812191802,0.00034927555432439267,3.142809252430439e-05
riley,90,90,0,0.0002612155812191802,0.0003613195389562683,0.0
whole,90,73,17,0.0002612155812191802,0.00029307029270897315,0.00017809252430439154
voic,90,52,38,0.0002612155812191802,0.0002087624002858439,0.0003980891719745223
accord,90,65,25,0.0002612155812191802,0.00026095300035730486,0.00026190077103586994
gif,89,2,87,0.0002583131858723004,8.029323087917072e-06,0.0009114146832048274
discount,89,27,62,0.0002583131858723004,0.00010839586168688048,0.0006495139121689574
enrononlin,89,89,0,0.0002583131858723004,0.00035730487741230977,0.0
key,89,49,40,0.0002583131858723004,0.0001967184156539683,0.00041904123365739187
easttexa,89,89,0,0.0002583131858723004,0.00035730487741230977,0.0
aepin,89,89,0,0.0002583131858723004,0.00035730487741230977,0.0
initi,89,61,28,0.0002583131858723004,0.0002448943541814707,0.0002933288635601743
directli,89,63,26,0.0002583131858723004,0.0002529236772693878,0.00027237680187730475
propos,89,60,29,0.0002583131858723004,0.0002408796926375122,0.0003038048944016091
subscrib,89,19,70,0.0002583131858723004,7.62785693352122e-05,0.0007333221589004358
thousand,89,8,81,0.0002583131858723004,3.211729235166829e-05,0.0008485584981562185
nov,88,79,9,0.00025541079052542065,0.0003171582619727244,9.428427757291318e-05
step,88,63,25,0.00025541079052542065,0.0002529236772693878,0.00026190077103586994
draft,88,85,3,0.00025541079052542065,0.0003412462312364756,3.142809252430439e-05
comment,87,80,7,0.00025250839517854085,0.00032117292351668293,7.333221589004358e-05
light,87,42,45,0.00025250839517854085,0.00016861578484625854,0.00047142138786456585
hill,87,77,10,0.00025250839517854085,0.00030912893888480734,0.00010476030841434797
feder,87,14,73,0.00025250839517854085,5.6205261615419515e-05,0.0007647502514247402
herrera,86,86,0,0.00024960599983166106,0.0003452608927804341,0.0
though,86,63,23,0.00024960599983166106,0.0002529236772693878,0.00024094870935300033
age,86,18,68,0.00024960599983166106,7.226390779125366e-05,0.0007123700972175662
gpgfin,86,86,0,0.00024960599983166106,0.0003452608927804341,0.0
hall,86,86,0,0.00024960599983166106,0.0003452608927804341,0.0
nation,86,30,56,0.00024960599983166106,0.0001204398463187561,0.0005866577271203486
spoke,86,83,3,0.00024960599983166106,0.0003332169081485585,3.142809252430439e-05
quick,86,28,58,0.00024960599983166106,0.00011241052323083903,0.0006076097888032182
morri,86,85,1,0.00024960599983166106,0.0003412462312364756,1.0476030841434798e-05
avila,86,86,0,0.00024960599983166106,0.0003452608927804341,0.0
experi,86,39,47,0.00024960599983166106,0.00015657180021438292,0.0004923734495474355
lose,86,10,76,0.00024960599983166106,4.014661543958537e-05,0.0007961783439490446
function,86,76,10,0.00024960599983166106,0.0003051142773408488,0.00010476030841434797
packag,85,54,31,0.00024670360448478127,0.00021679172337376096,0.0003247569560844787
happi,85,34,51,0.00024670360448478127,0.00013649849249459026,0.0005342775729131747
pain,85,4,81,0.00024670360448478127,1.6058646175834145e-05,0.0008485584981562185
devon,85,85,0,0.00024670360448478127,0.0003412462312364756,0.0
upon,85,45,40,0.00024670360448478127,0.00018065976947813416,0.00041904123365739187
owner,85,68,17,0.00024670360448478127,0.0002729969849891805,0.00017809252430439154
object,85,34,51,0.00024670360448478127,0.00013649849249459026,0.0005342775729131747
choos,85,37,48,0.00024670360448478127,0.00014854247712646585,0.0005028494803888703
quot,85,47,38,0.00024670360448478127,0.00018868909256605123,0.0003980891719745223
spam,85,1,84,0.00024670360448478127,4.014661543958536e-06,0.000879986590680523
taken,85,57,28,0.00024670360448478127,0.00022883570800563658,0.0002933288635601743
nguyen,85,84,1,0.00024670360448478127,0.0003372315696925171,1.0476030841434798e-05
benefit,85,40,45,0.00024670360448478127,0.00016058646175834147,0.00047142138786456585
vacat,85,78,7,0.00024670360448478127,0.00031314360042876584,7.333221589004358e-05
teja,85,85,0,0.00024670360448478127,0.0003412462312364756,0.0
jpg,85,19,66,0.00024670360448478127,7.62785693352122e-05,0.0006914180355346966
commit,85,62,23,0.00024670360448478127,0.00024890901572542927,0.00024094870935300033
improv,85,33,52,0.00024670360448478127,0.0001324838309506317,0.0005447536037546095
seek,85,11,74,0.00024670360448478127,4.41612769835439e-05,0.000775226282266175
class,84,58,26,0.0002438012091379015,0.00023285036954959513,0.00027237680187730475
men,84,10,74,0.0002438012091379015,4.014661543958537e-05,0.000775226282266175
girl,84,14,70,0.0002438012091379015,5.6205261615419515e-05,0.0007333221589004358
convers,84,55,29,0.0002438012091379015,0.0002208063849177195,0.0003038048944016091
profit,84,26,58,0.0002438012091379015,0.00010438120014292195,0.0006076097888032182
factor,84,31,53,0.0002438012091379015,0.00012445450786271464,0.0005552296345960443
idea,84,63,21,0.0002438012091379015,0.0002529236772693878,0.00021999664767013074
kevin,83,82,1,0.00024089881379102174,0.0003292022466046,1.0476030841434798e-05
capac,83,71,12,0.00024089881379102174,0.0002850409696210561,0.00012571237009721757
instruct,83,25,58,0.00024089881379102174,0.00010036653859896341,0.0006076097888032182
abil,83,43,40,0.00024089881379102174,0.00017263044639021706,0.00041904123365739187
saturday,83,83,0,0.00024089881379102174,0.0003332169081485585,0.0
cernosek,83,83,0,0.00024089881379102174,0.0003332169081485585,0.0
opinion,83,23,60,0.00024089881379102174,9.233721551104634e-05,0.0006285618504860878
lamadrid,83,83,0,0.00024089881379102174,0.0003332169081485585,0.0
god,83,54,29,0.00024089881379102174,0.00021679172337376096,0.0003038048944016091
worldwid,83,24,59,0.00024089881379102174,9.635187705500487e-05,0.000618085819644653
oct,83,78,5,0.00024089881379102174,0.00031314360042876584,5.2380154207173984e-05
load,82,37,45,0.00023799641844414194,0.00014854247712646585,0.00047142138786456585
appli,82,63,19,0.00023799641844414194,0.0002529236772693878,0.00019904458598726116
four,82,33,49,0.00023799641844414194,0.0001324838309506317,0.0005133255112303051
eileen,82,82,0,0.00023799641844414194,0.0003292022466046,0.0
park,81,72,9,0.00023509402309726218,0.00028905563116501465,9.428427757291318e-05
reliantenergi,81,81,0,0.00023509402309726218,0.0003251875850606415,0.0
complianc,81,9,72,0.00023509402309726218,3.613195389562683e-05,0.0007542742205833054
earl,81,78,3,0.00023509402309726218,0.00031314360042876584,3.142809252430439e-05
larg,81,25,56,0.00023509402309726218,0.00010036653859896341,0.0005866577271203486
salli,80,78,2,0.00023219162775038238,0.00031314360042876584,2.0952061682869596e-05
shell,80,59,21,0.00023219162775038238,0.00023686503109355365,0.00021999664767013074
affili,80,30,50,0.00023219162775038238,0.0001204398463187561,0.0005238015420717399
protect,80,23,57,0.00023219162775038238,9.233721551104634e-05,0.0005971337579617834
took,80,53,27,0.00023219162775038238,0.00021277706182980244,0.0002828528327187395
dear,80,35,45,0.00023219162775038238,0.00014051315403854878,0.00047142138786456585
mar,80,65,15,0.00023219162775038238,0.00026095300035730486,0.00015714046262152196
staff,80,66,14,0.00023219162775038238,0.0002649676619012634,0.00014666443178008715
affect,80,58,22,0.00023219162775038238,0.00023285036954959513,0.00023047267851156555
plu,80,47,33,0.00023219162775038238,0.00018868909256605123,0.0003457090177673483
interconnect,80,80,0,0.00023219162775038238,0.00032117292351668293,0.0
hub,79,76,3,0.00022928923240350262,0.0003051142773408488,3.142809252430439e-05
melissajon,79,79,0,0.00022928923240350262,0.0003171582619727244,0.0
valign,79,0,79,0.00022928923240350262,0.0,0.0008276064364733489
analyst,79,70,9,0.00022928923240350262,0.00028102630807709755,9.428427757291318e-05
beverli,79,76,3,0.00022928923240350262,0.0003051142773408488,3.142809252430439e-05
land,79,48,31,0.00022928923240350262,0.00019270375411000975,0.0003247569560844787
cdnow,79,79,0,0.00022928923240350262,0.0003171582619727244,0.0
johnson,79,73,6,0.00022928923240350262,0.00029307029270897315,6.285618504860878e-05
wither,79,78,1,0.00022928923240350262,0.00031314360042876584,1.0476030841434798e-05
kill,79,52,27,0.00022928923240350262,0.0002087624002858439,0.0002828528327187395
press,79,18,61,0.00022928923240350262,7.226390779125366e-05,0.0006390378813275226
walker,79,78,1,0.00022928923240350262,0.00031314360042876584,1.0476030841434798e-05
excess,79,62,17,0.00022928923240350262,0.00024890901572542927,0.00017809252430439154
albrecht,78,76,2,0.00022638683705662282,0.0003051142773408488,2.0952061682869596e-05
model,78,44,34,0.00022638683705662282,0.0001766451079341756,0.0003561850486087831
bruce,78,77,1,0.00022638683705662282,0.00030912893888480734,1.0476030841434798e-05
super,78,7,71,0.00022638683705662282,2.8102630807709757e-05,0.0007437981897418706
quantiti,78,59,19,0.00022638683705662282,0.00023686503109355365,0.00019904458598726116
store,78,29,49,0.00022638683705662282,0.00011642518477479757,0.0005133255112303051
entir,78,53,25,0.00022638683705662282,0.00021277706182980244,0.00026190077103586994
pictur,78,50,28,0.00022638683705662282,0.00020073307719792682,0.0002933288635601743
forc,78,56,22,0.00022638683705662282,0.00022482104646167806,0.00023047267851156555
earli,78,63,15,0.00022638683705662282,0.0002529236772693878,0.00015714046262152196
sat,78,59,19,0.00022638683705662282,0.00023686503109355365,0.00019904458598726116
music,78,27,51,0.00022638683705662282,0.00010839586168688048,0.0005342775729131747
referenc,78,61,17,0.00022638683705662282,0.0002448943541814707,0.00017809252430439154
mind,78,37,41,0.00022638683705662282,0.00014854247712646585,0.0004295172644988267
